Osmoderma lassallei;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/157575/0
Knipowitschia thessala;Thessalogovinós;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/11027/0
Squatina aculeata;Monkfish;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61417/0
Crotchiella brachyptera;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/157511/0
Succisella andreae-molinae;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61646/0
Pezzolia radapalladis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155483/0
Pipistrellus maderensis;Madeira Pipistrelle;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/17315/0
Squatina squatina;Angel Shark;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/39332/0
Rhynchospora modesti-lucennoi;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/164415/0
Squalius moreoticus;Stymphalia Chub;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135568/0
Osmoderma italica;Hermit Beetle;Near Threatened;Decreasing;http://www.iucnredlist.org/apps/redlist/details/15632/0
Aphanius baeticus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61235/0
Oxyura leucocephala;White-headed Duck;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/141428/0
Abies nebrodensis;Sicilian Fir;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/30478/0
Barbus caninus;Brook Barbel;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/2592/0
Belgrandia moitessieri;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155705/0
Polygala helenae;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61668/0
Weissia multicapsularis;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/133733/0
Naufraga balearica;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61615/0
Pilularia minuta;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/164187/0
Brimeura duvigneaudii;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61606/0
Paladilhia gloeeri;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155881/0
Coregonus trybomi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/5383/0
Pieris wollastoni;Madeiran Large White;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/39483/0
Cobitis stephanidisi;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/5030/0
Pleurotus nebrodensis;White Ferula Mushroom;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61597/0
