GR_2004;Epinephelus marginatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR_2003;Raja undulata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2010;Numenius tenuirostris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2009;Acipenser gueldenstaedtii;Acipenser nudiventris;Ampedus quadrisignatus;Huso huso;Limoniscus violaceus;Ropalopus ungaricus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2008;Branta ruficollis;Hucho hucho;Mustela lutreola;Oxyura leucocephala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2007;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2006;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2004;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU_2003;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2010;Puffinus mauretanicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2009;Numenius borealis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2008;Alosa killarnensis;Anguilla anguilla;Balaenoptera borealis;Balaenoptera musculus;Balaenoptera physalus;Coregonus pollan;Eubalaena glacialis;Salvelinus grayi;Salvelinus obtusus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2007;Rhinobatos rhinobatos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2006;Dipturus batis;Squatina squatina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2004;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_2003;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2010;Alzoniella delmastroi;Armeria helodes;Austropotamobius pallipes;Margaritifera auricularia;Melanopsis etrusca;Numenius tenuirostris;Sisymbrella dentata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2009;Acipenser naccarii;Acipenser sturio;Ampedus quadrisignatus;Belgrandia bonelliana;Buprestis splendens;Heleobia foxianensis;Osmoderma cristinae;Osmoderma italica;Pezzolia radapalladis;Polyommatus humedasae;Ropalopus ungaricus;Salenthydrobia ferrerii;Sardohoratia islamioides;Sardohoratio sulcata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2008;Anguilla anguilla;Balaenoptera physalus;Bombina pachypus;Euproctus platycephalus;Monachus monachus;Neophron percnopterus;Podarcis raffonei;Saxifraga tomeanensis;Speleomantes supramontis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2007;Pilularia minuta;Rhinobatos cemiculus;Squatina aculeata;Squatina oculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2006;Abies nebrodensis;Anchusa crispa;Aquilegia barbaricina;Aquilegia nuragica;Barbus caninus;Bupleurum dianthifolium;Bupleurum elatum;Calendula maritima;Centaurea gymnocarpa;Centranthus amazonum;Chondrostoma soetta;Dipturus batis;Hieracium lucidum;Lamyropsis microcephala;Leucoraja melitensis;Limonium strictissimum;Mobula mobular;Petagnaea gussonei;Pleurotus nebrodensis;Polygala sinisica;Ribes sardoum;Romanogobio benacensis;Rostroraja alba;Salmo carpio;Scardinius scardafa;Silene hicesiae;Squalius lucumonis;Squatina squatina;Viola ucriana;Zelkova sicula;;;;;;;;;;;;;;;;;
IT_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2004;Epinephelus marginatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT_2003;Raja undulata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2010;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2009;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2008;Anguilla anguilla;Mustela lutreola;Equus ferus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2007;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2006;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2004;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT_2003;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2010;Margaritifera auricularia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2009;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2008;anguilla anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2007;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2006;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2004;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU_2003;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2010;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2009;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2008;Anguilla anguilla;Mustela lutreola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2007;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2006;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2004;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LV_2003;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2010;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2009;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2008;Balaenoptera physalus;Monachus monachus;Neophron percnopterus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2007;Rhinobatus cemiculus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2006;Cheirolophus crassifolius;Cremnophyton Ianfrancoi;Helichrysum melitense;Leucoraja melitensis;Mobula mobular;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT_2004;Epinephelus marginatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
